window,population,horizon_days,n_events,n_events_nonoverlap,mean_fwd_log_ret,mean_fwd_lo,mean_fwd_hi,mean_fwd_nonoverlap,mean_fwd_nonoverlap_lo,mean_fwd_nonoverlap_hi,uncond_mean_fwd_log_ret,stopping_premium_flat,stopping_premium_flat_lo,stopping_premium_flat_hi,stopping_premium_rotate,stopping_premium_rotate_lo,stopping_premium_rotate_hi,p_negative,autocorr_h
PRE_HOLDOUT,incumbent,21.0,484,55,-0.07002161817724073,-0.1439176442533087,0.007576244326725439,0.0012798087464531785,-0.0687704487547898,0.07487054003103062,0.008242842612044558,0.07002161817724073,-0.007576244326725439,0.1439176442533087,0.02296930727966717,-0.018516107253285806,0.05662683403065838,0.6776859504132231,0.17487246669094464
PRE_HOLDOUT,incumbent,30.0,484,49,-0.10021326542837067,-0.21341514669161676,0.008463536162102905,-0.03477654961526205,-0.1367670848363955,0.06566668446123952,0.011450767218616481,0.10021326542837067,-0.008463536162102905,0.21341514669161676,0.024157245682975288,-0.021967355426623626,0.06317205247547415,0.6198347107438017,0.1326231737496709
FULL,all_assets,0.25,11487,3733,0.000893469429111636,-4.2324175896793106e-05,0.0018362665394608471,0.0012034927104833575,7.713193627929225e-05,0.0024622699709457192,5.628231048460353e-05,-0.000893469429111636,-0.0018362665394608471,4.2324175896793106e-05,-0.00045997858662532286,-0.0008558048661145492,-8.135130012612792e-05,0.47758335509706623,-0.02493908097934171
FULL,all_assets,0.5,11484,2821,0.0006774148404184297,-0.000938172851685848,0.002155161098758183,0.0008857105034971832,-0.0009643944170566569,0.0028431418746479777,0.00010980337160211448,-0.0006774148404184297,-0.002155161098758183,0.000938172851685848,0.00010133906920074398,-0.0004801439973062394,0.000703667290753793,0.4800592128178335,-0.013037963760011028
FULL,all_assets,1.0,11482,2073,0.0003049079840976789,-0.002434763742630775,0.0030663875176641237,0.0005816114473373949,-0.0025161466275034753,0.003795458451054414,0.00021580624610589911,-0.0003049079840976789,-0.0030663875176641237,0.002434763742630775,0.0006034717250083363,-0.00035035190944584295,0.0015933636603450666,0.4832781745340533,-0.049654471067905395
FULL,all_assets,2.0,11482,1520,-0.0007212343827983222,-0.0051245409272313615,0.003512319129036111,0.0024613659099314133,-0.002678559718713424,0.008391009947525152,0.00040605162064482513,0.0007212343827983222,-0.003512319129036111,0.0051245409272313615,0.001062724769972747,-0.0004849351878769206,0.0025547309305653993,0.5152412471694827,-0.0038352542014157874
FULL,all_assets,3.0,11482,1257,-0.0023263859539607305,-0.008510745130047665,0.003620545212292342,0.0023456170483323983,-0.004530459260930422,0.009022667672548031,0.0005885243194594364,0.0023263859539607305,-0.003620545212292342,0.008510745130047665,0.0017995529142089716,-0.0002880871445816243,0.003888923517466229,0.5121929977355861,0.014859895777665387
FULL,all_assets,5.0,11482,1001,-0.001722272606977325,-0.011165779159887005,0.0070764586790546865,0.0018343481246880535,-0.010192655470300944,0.014394133358156428,0.0009547892259166996,0.001722272606977325,-0.0070764586790546865,0.011165779159887005,0.001133043965223983,-0.0016145130150790456,0.003953980610841905,0.5074899843232886,0.017782993487242885
FULL,all_assets,7.0,11482,837,0.003204502368772138,-0.007816897822339807,0.014167206815694198,0.0015508693334542467,-0.013639639091112333,0.018254338606345268,0.0012444302616963843,-0.003204502368772138,-0.014167206815694198,0.007816897822339807,0.0003551029491106265,-0.003123650317533994,0.003887366670666002,0.49695175056610347,-0.06648926412509731
FULL,all_assets,10.0,11456,708,0.0032892989629825053,-0.01068338082490933,0.017475399409977957,0.005090334708142874,-0.013063479759166356,0.024758634476245295,0.0016217568884710342,-0.0032892989629825053,-0.017475399409977957,0.01068338082490933,0.0008000408624561092,-0.003781502278753562,0.00506471216198685,0.5017458100558659,-0.01614093416999913
