trial,market,strategy,return_pct,max_dd_pct,vol,c,liquidated
19,spot,notional-matched reb.  c=0.283,39.39641692607137,9.87929992356206,0.14327152203207041,,False
19,spot,per-window matched hold,111.7738573295958,23.769512080796517,0.3535161008588577,0.6892076687440748,False
19,futures,buy_and_hold,906.5929139043965,85.29016907388403,1.486118978981068,,False
19,futures,kelly_regime_v4,169.7705520560387,23.784255622905967,0.4104637109656905,,False
19,futures,vol-matched rebalanced c=0.353,52.039159497665025,12.298537130255157,0.18035736029080476,,False
19,futures,vol-matched static     c=0.293,53.120847754499344,18.894816646876535,0.23834746058283537,,False
19,futures,notional-matched reb.  c=0.283,39.4561987392418,9.87784860438719,0.14326918437573272,,False
19,futures,per-window matched hold,143.99780156918447,27.415118700914366,0.41238796589098603,0.8043643195459829,False
20,spot,buy_and_hold,27.156216459262737,31.380465645496802,0.5011676327585626,,False
20,spot,kelly_regime_v4,15.153126586498743,20.334390339331684,0.3304426573148073,,False
20,spot,vol-matched rebalanced c=0.353,10.736551598993604,12.02121211148925,0.17411725240058729,,False
20,spot,vol-matched static     c=0.293,7.955948132817903,9.608178602623116,0.1503778614487541,,False
20,spot,notional-matched reb.  c=0.283,9.348490943249077,9.374219129668969,0.14241548552288205,,False
20,spot,per-window matched hold,21.439554404878702,21.582147875625182,0.33830448719427736,0.6698961146392997,False
20,futures,buy_and_hold,-98.19548021356785,98.64019144684679,2.3007487429687097,,True
20,futures,kelly_regime_v4,27.057329561146727,22.07705358411454,0.3816585533970341,,False
20,futures,vol-matched rebalanced c=0.353,10.768965417726362,12.01825790817376,0.17410389528564957,,False
20,futures,vol-matched static     c=0.293,7.9586141276999145,9.592645625387522,0.15013398620526494,,False
20,futures,notional-matched reb.  c=0.283,9.38065735919784,9.369390723241095,0.14241028437385403,,False
20,futures,per-window matched hold,21.07176780636555,24.634953606686715,0.3887497448701429,0.7737835684317526,False
21,spot,buy_and_hold,50.437557709038174,23.041098278773642,0.5286285488285983,,False
