split,market,arm,c,final,vol,max_dd,sharpe,fills,fees,clamp,liquidated,mean_notional
inner-validation,futures,buy_and_hold,,18.045197864322176,2.609924398104103,99.77186392749618,0.43218851644871775,2,4.498771984924623,0.0,True,
inner-validation,futures,kelly_regime_v4,,1063.696073859017,0.2867562246629427,32.29115790455559,0.25141025712729964,143,27.176071290272006,0.0,False,0.2893613311593764
inner-validation,futures,rebalanced_hold,0.1,1001.1288254611561,0.0825021878918821,12.098356410518496,0.048103059561203185,93,0.5575591199333861,0.0,False,
inner-validation,futures,rebalanced_hold,0.15,999.6613005240664,0.12375616381823273,17.66901723084676,0.06050743891186409,87,0.7969703721681966,0.0,False,
inner-validation,futures,rebalanced_hold,0.2,995.4787424048717,0.1653684578893444,22.553273605567696,0.06895643622268512,80,1.004812418991571,0.0,False,
inner-validation,futures,rebalanced_hold,0.3,963.2191738222953,0.24791222619427714,32.42026587278462,0.048225254938278006,55,1.1253175288604473,0.0,False,
inner-validation,futures,rebalanced_hold,0.4,936.5875346541901,0.3302599353622048,41.94814935125647,0.06575364921667982,45,1.2940276879386206,0.0,False,
inner-validation,futures,rebalanced_hold,0.5,868.8984171124324,0.4119736631050871,49.04195782675017,0.0351081249733807,27,1.086808102229487,0.0,False,
inner-validation,futures,rebalanced_hold,0.65,815.1309825432323,0.5364570645690001,59.63752480141762,0.07738266762279733,17,1.003885064220194,0.0,False,
inner-validation,futures,rebalanced_hold,0.8,726.1879554765374,0.6618232453211919,67.91786727204763,0.08880347065818321,7,0.7209882842632088,0.0,False,
inner-validation,futures,rebalanced_hold,1.0,574.2858514514701,0.8258627398860203,77.34171273159353,0.07660891392470319,1,0.49990887849737353,0.0,False,
inner-validation,futures,static_hold,0.1,957.5272733249335,0.10871654119038403,16.169979602128233,-0.14565141557759087,1,0.049875,0.0,False,
inner-validation,futures,static_hold,0.15,936.2909099874004,0.159249074413359,22.86675918094031,-0.127470910758013,1,0.0748125,0.0,False,
inner-validation,futures,static_hold,0.2,915.0545466498672,0.20762593459610892,28.838469715798805,-0.11037925177428395,1,0.09975,0.0,False,
inner-validation,futures,static_hold,0.3,872.5818199748007,0.29885057449479185,39.031692417822335,-0.07903469632994822,1,0.149625,0.0,False,
inner-validation,futures,static_hold,0.4,830.1090932997344,0.383978425932937,47.4105380654283,-0.05089757597564494,1,0.1995,0.0,False,
inner-validation,futures,static_hold,0.5,787.636366624668,0.464251041053408,54.419850191114996,-0.025410507401037296,1,0.249375,0.0,False,
inner-validation,futures,static_hold,0.65,723.9272766120682,0.5777320345508636,63.020247476903066,0.008817278204218041,1,0.3241875,0.0,False,
inner-validation,futures,static_hold,0.8,660.2181865994687,0.6853960200471808,69.9272151207802,0.039340447236926805,1,0.399,0.0,False,
