strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,asset,start,end,days,fee_rate,slippage_bps,min_notional,funding_paid,funding_model,fills,fills_per_day,completed_round_trips,round_trips_per_day,active_days_pct,daily_sharpe,annualized_volatility,mean_abs_exposure,decision_requests
r190_base_b20,spot,1000.0,870.7271865892866,-129.2728134107134,-12.927281341071339,28,10.714285714285714,237.03373657854002,-183.51213383669966,-4.6168861932398,44.67117000974283,-0.031192045428377765,51.278538812785385,182.9871274825883,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,113,0.1547945205479452,28,0.038356164383561646,13.287671232876713,-0.05926942665692525,0.3171739567854979,0.3063033982417584,173
r190_blend_b05,futures_5x,1000.0,940.6569585989621,-59.34304140103791,-5.9343041401037855,37,5.405405405405405,282.9745494927923,-141.13349708575348,1.6612639856691167,34.32256452140731,0.0596739578600155,58.42465753424658,17.338028553241777,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,120.80980887079669,Deribit 8h aggregation,124,0.16986301369863013,37,0.050684931506849315,13.972602739726028,0.037097131676904156,0.287936679668252,0.2808264826681686,1269
r190_blend_b05,spot,1000.0,12039.864556813802,11039.864556813802,1103.9864556813802,45,13.636363636363637,7022.246992025541,-296.87541814418734,245.33032348475115,49.919231802140224,1.8016880907664687,69.95184995056658,1069.4495229313766,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,513,0.351129363449692,44,0.030116358658453114,25.32511978097194,1.9013435885044725,0.36136752219594614,0.39786681080022757,990
r190_blend_b05,spot,1000.0,936.5255462079786,-63.47445379202145,-6.347445379202144,37,8.108108108108109,315.7265546016083,-154.7032948593066,-1.715525778162743,41.35492299391924,0.049121104581085644,58.401826484018265,214.29242692262795,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,274,0.37534246575342467,37,0.050684931506849315,26.71232876712329,0.0333398112867517,0.29234546409887047,0.2931626955199024,317
r190_blend_b10,futures_5x,1000.0,881.6384050197869,-118.36159498021311,-11.836159498021315,27,7.407407407407407,282.9745494927923,-141.13349708575348,0.10038911015219808,38.71997129116181,-0.04285299018789159,56.118721461187214,17.374598021517386,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,121.07210095432416,Deribit 8h aggregation,103,0.1410958904109589,27,0.036986301369863014,12.191780821917808,-0.07417421941918588,0.2889790711443524,0.28313713042152894,812
r190_blend_b10,spot,1000.0,13041.523621104838,12041.523621104838,1204.1523621104839,38,16.216216216216218,7628.288162101151,-304.81678758348505,316.8822005553903,46.22708538896238,1.838612264850964,68.28632405506121,954.9808390817826,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,318,0.21765913757700206,37,0.025325119780971937,17.248459958932237,1.9485156641245813,0.3632870845861303,0.3959298100470328,708
r190_blend_b10,spot,1000.0,938.892516574548,-61.10748342545196,-6.110748342545191,28,10.714285714285714,304.03329931546875,-135.6858014520933,-2.1824101223376093,42.56531769115448,0.05199142904898903,56.16438356164384,187.8256851979447,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,165,0.22602739726027396,28,0.038356164383561646,18.63013698630137,0.036861120186455446,0.29125880674477533,0.28656772986929613,203
r190_blend_b20,futures_5x,1000.0,892.0240453238575,-107.97595467614246,-10.79759546761425,22,9.090909090909092,282.9745494927923,-153.5375894965702,0.6180692219936471,38.84146916766431,-0.02459373675953902,54.08675799086758,16.710676945438873,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,121.57347756000259,Deribit 8h aggregation,92,0.12602739726027398,22,0.030136986301369864,11.095890410958905,-0.054152866476089245,0.28876339791946865,0.28001404936084473,349
r190_blend_b20,spot,1000.0,15044.912334430306,14044.912334430306,1404.4912334430305,29,21.428571428571427,8746.59248122999,-314.2857683981973,484.3073218769071,42.06133897103147,1.879157665332028,66.3356053692296,885.9647063027176,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,167,0.11430527036276524,28,0.019164955509924708,10.26694045174538,1.998892676782449,0.3739177484659617,0.4020248014779668,478
r190_blend_b20,spot,1000.0,938.5061737768734,-61.493826223126575,-6.14938262231266,23,13.043478260869565,292.4956392296734,-159.25218364934878,-2.6736446183967986,42.187684345746995,0.05072384124483506,54.06392694063927,151.742090838032,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,102,0.13972602739726028,23,0.031506849315068496,12.054794520547945,0.03576075683220551,0.2906429714009658,0.27872747529983144,122
r190_v3_b05,futures_5x,1000.0,1004.0639861067023,4.063986106702259,0.4063986106702222,31,16.129032258064516,359.09740725250265,-125.55315158449208,4.012970374610362,34.699241829384675,0.15820061595252735,54.45205479452055,19.537782526068376,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,120.3380955062191,Deribit 8h aggregation,97,0.13287671232876713,31,0.04246575342465753,10.821917808219178,0.14418834755462365,0.27601899495844595,0.2566768395804331,1153
r190_v3_b05,spot,1000.0,12369.45061481402,11369.45061481402,1136.945061481402,49,12.5,7268.882117159796,-209.93958125552746,232.02960438395962,52.241781799148356,1.7920313889419544,67.81860787892616,980.5807923374674,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,325,0.22245037645448323,48,0.03285420944558522,16.76933607118412,1.893543317405734,0.3676577844485786,0.39542834743560246,716
r190_v3_b05,spot,1000.0,1016.3065848117126,16.306584811712582,1.6306584811712543,32,15.625,340.48931707587883,-146.77310312662215,0.5095807753660138,38.61367026722256,0.17705141274580408,54.24657534246575,202.94324779953695,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,159,0.21780821917808219,32,0.043835616438356165,17.945205479452056,0.17051881394564755,0.2866394767679652,0.27473386645835063,181
r190_v3_b10,futures_5x,1000.0,1004.0639861067023,4.063986106702259,0.4063986106702222,31,16.129032258064516,359.09740725250265,-125.55315158449208,4.012970374610362,34.699241829384675,0.15820061595252735,54.45205479452055,19.537782526068376,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,120.3380955062191,Deribit 8h aggregation,97,0.13287671232876713,31,0.04246575342465753,10.821917808219178,0.14418834755462365,0.27601899495844595,0.2566768395804331,871
r190_v3_b10,spot,1000.0,13452.851226143372,12452.851226143372,1245.285122614337,49,12.5,7905.532552025525,-228.32783445038922,254.13982094170154,50.94727469391071,1.8290044185597762,67.81860787892616,1040.5278085882474,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,304,0.2080766598220397,48,0.03285420944558522,15.605749486652977,1.93037702694118,0.3723810818398789,0.397316537466508,678
