strategy,cell,control,reference,risk_valid,control_to_candidate_vol,days,sharpe,control_sharpe,d_sharpe,d_sharpe_lo,d_sharpe_hi,growth,control_growth,d_growth,d_growth_lo,d_growth_hi,drawdown,control_drawdown,d_drawdown,d_drawdown_lo,d_drawdown_hi
r190_v3_b10,holdout,parent,kelly_regime_v3,True,1.0142432488322488,1320,0.8312196307422224,0.8351408594551271,-0.0039212287129046786,-0.10957104086108897,0.09838718930542091,0.7799025178478403,0.7930422648352173,-0.013139746987377077,-0.12770362131226443,0.10717944166657221,38.91865849916146,41.092653906004124,-2.173995406842664,-3.8137816576722687,3.375174649321493
r190_v3_b10,holdout,matched_hold,match_r190_v3_b10_holdout_i1,True,1.0028864733458165,1320,0.8312196307422224,1.02216552340073,-0.1909458926585077,-0.7919219508389637,0.39718374845467325,0.7799025178478403,1.0025258691945071,-0.2226233513466669,-0.8568360461221481,0.4578019509604879,38.91865849916146,38.86837087374229,0.050287625419166204,-15.259992409533556,23.738186216379532
r190_v3_b20,holdout,parent,kelly_regime_v3,True,1.0121928693760054,1320,0.847814329677099,0.8351408594551271,0.01267347022197196,-0.10079954052293884,0.1333607464240523,0.8003914227303333,0.7930422648352173,0.007349157895115921,-0.11922235389371433,0.14975213692725756,39.261505903577124,41.092653906004124,-1.8311480024269997,-4.2977159907479585,3.4142169462634584
r190_v3_b20,holdout,matched_hold,match_r190_v3_b20_holdout_i1,True,1.0039942870118035,1320,0.847814329677099,1.0219009088181852,-0.17408657914108616,-0.7763423007292904,0.41844151138493235,0.8003914227303333,1.0047665999699102,-0.204375177239577,-0.8473122466312832,0.48484558246798554,39.261505903577124,38.91912651052379,0.342379393053335,-15.091752946917472,23.53540152780402
r190_base_b05,holdout,parent,kelly_regime,True,1.0102234709818871,1320,0.7833425106256332,0.7870635807120913,-0.003721070086458056,-0.10948378760834268,0.09539580909868507,0.7275657782720981,0.7374633178291374,-0.009897539557039314,-0.12544607654686196,0.10558789448811874,39.72522540719959,41.86515918502672,-2.1399337778271317,-3.665611234532527,3.4639075809061266
r190_base_b05,holdout,matched_hold,match_r190_base_b05_holdout_i1,True,0.99996493923523,1320,0.7833425106256332,1.0293074209993727,-0.24596491037373946,-0.8292369728661205,0.36091223570209313,0.7275657782720981,1.013359417885376,-0.28579363961327786,-0.9499449165972002,0.42864684409638115,39.72522540719959,39.87934389491678,-0.1541184877171915,-14.123075568293302,24.967230851446338
r190_base_b10,holdout,parent,kelly_regime,True,1.0090740547564512,1320,0.8060995161321519,0.7870635807120913,0.019035935420060657,-0.08382443524212585,0.11387395996956298,0.7547687480277534,0.7374633178291374,0.017305430198615968,-0.09800795133398618,0.12728623808777337,39.47618275795038,41.86515918502672,-2.3889764270763365,-4.241156979033623,2.9329866222553633
r190_base_b10,holdout,matched_hold,match_r190_base_b10_holdout_i1,True,0.9996292004893537,1320,0.8060995161321519,1.0299605854445941,-0.2238610693124422,-0.797014386928114,0.3764345255672578,0.7547687480277534,1.014786495749902,-0.2600177477221486,-0.9119477804166307,0.45359575149904563,39.47618275795038,39.88788236172399,-0.4116996037736058,-14.581811912162134,24.409985118155767
r190_base_b20,holdout,parent,kelly_regime,True,1.0062606430670327,1320,0.8547564845818306,0.7870635807120913,0.06769290386973936,-0.06024067830903307,0.1857845132350603,0.8133409509892227,0.7374633178291374,0.07587763316008522,-0.0678026433773842,0.21626141264892756,39.35676525076519,41.86515918502672,-2.5083939342615267,-6.083215362980243,2.9325674801396113
r190_base_b20,holdout,matched_hold,match_r190_base_b20_holdout_i1,True,0.9989663477853712,1320,0.8547564845818306,1.0308034201794454,-0.17604693559761475,-0.7650885026305491,0.4273829912070121,0.8133409509892227,1.0175372139650312,-0.2041962629758085,-0.8634278547616149,0.5025748565756183,39.35676525076519,39.946236196239546,-0.5894709454743534,-15.518503340901681,23.346327106667033
r190_blend_b10,holdout,parent,kelly_regime_v4,True,1.0029979202347936,1320,0.8455398805225482,0.9308772114456563,-0.08533733092310802,-0.3003036898440921,0.09854594657822952,0.7964192886554369,0.8976169655237836,-0.10119767686834669,-0.3358953107406953,0.10797182106232325,36.50644335906198,32.72062838368928,3.785814975372702,-4.581331863159392,10.31108531819488
r190_blend_b10,holdout,matched_hold,match_r190_blend_b10_holdout_i1,True,1.002891553172922,1320,0.8455398805225482,1.0221635845822898,-0.1766237040597416,-0.752660878856246,0.40790079768486986,0.7964192886554369,1.00238782886226,-0.2059685402068232,-0.839660133700207,0.4756836225651897,36.50644335906198,38.86275143662283,-2.356308077560847,-14.547950164709377,22.588183586978683
r190_v4_b05,funded_holdout,parent,kelly_regime_v4,True,1.0174898415600806,1320,1.0353307611654674,1.0569489970866222,-0.02161823592115475,-0.19712587221386163,0.14913847154517582,1.11685530617116,1.1610176188798265,-0.04416231270866655,-0.2615519830728642,0.17589793070606013,32.00984239463512,31.12922182751093,0.8806205671241933,-6.046435658117311,6.436535884698858
r190_v4_b05,funded_holdout,matched_hold,match_r190_v4_b05_funded_holdout_i1,True,1.0093463552473583,1320,1.0353307611654674,0.875635780170992,0.15969498099447543,-0.42933058725599993,0.7705015415230325,1.11685530617116,0.9132518469206772,0.20360345925048273,-0.5325228728668182,1.0033073480055703,32.00984239463512,45.169308909350484,-13.159466514715362,-24.72727652176765,15.005398057650453
r190_v4_b10,funded_holdout,parent,kelly_regime_v4,True,1.0174898415600806,1320,1.0353307611654674,1.0569489970866222,-0.02161823592115475,-0.19712587221386163,0.14913847154517582,1.11685530617116,1.1610176188798265,-0.04416231270866655,-0.2615519830728642,0.17589793070606013,32.00984239463512,31.12922182751093,0.8806205671241933,-6.046435658117311,6.436535884698858
r190_v4_b10,funded_holdout,matched_hold,match_r190_v4_b10_funded_holdout_i1,True,1.0093463552473583,1320,1.0353307611654674,0.875635780170992,0.15969498099447543,-0.42933058725599993,0.7705015415230325,1.11685530617116,0.9132518469206772,0.20360345925048273,-0.5325228728668182,1.0033073480055703,32.00984239463512,45.169308909350484,-13.159466514715362,-24.72727652176765,15.005398057650453
