strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,asset,start,end,days,fee_rate,slippage_bps,min_notional,funding_paid,funding_model,fills,fills_per_day,completed_round_trips,round_trips_per_day,active_days_pct,daily_sharpe,annualized_volatility,mean_abs_exposure,decision_requests,reference_candidate,control_c,match_attempt,stage,target_daily_volatility,achieved_daily_volatility,relative_vol_error,matched_valid,final_selected
match_r190_base_b20_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_base_b20,0.5,0,train,0.016595961084972834,0.019376506158337116,0.16754347995440808,False,False
match_r190_base_b20_inner_val_i1,spot,1000.0,918.5831067671174,-81.41689323288256,-8.14168932328826,1,0.0,-81.41689323288242,-81.41689323288242,-81.41689323288242,44.46896149910436,0.0552071500659959,99.99952435312025,10.305774097570858,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,41,0.056164383561643834,0,0.0,5.342465753424658,0.023339567533156826,0.31596547509206513,0.4283789772612597,41,r190_base_b20,0.42824957578412814,1,train,0.016595961084972834,0.016532727913626182,0.0038101542310741685,True,True
match_r190_blend_b10_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_blend_b10,0.5,0,train,0.01512067846833555,0.019182747063595195,0.2686432757475855,False,False
match_r190_blend_b10_funded_val_i1,futures_5x,1000.0,885.5080268868314,-114.49197311316857,-11.449197311316862,1,0.0,-38.04016779695672,-38.04016779695672,-38.04016779695672,41.77493306765261,-0.02062251587174264,99.99952435312025,1.2739197366272348,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,76.45180531621588,Deribit 8h aggregation,46,0.06301369863013699,0,0.0,6.027397260273973,-0.06628387536848153,0.28892673556845727,0.3970641142701235,46,r190_blend_b10,0.39412182254728795,1,train,0.01512067846833555,0.01511794003675145,0.00018110507341540964,True,True
match_r190_blend_b10_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_blend_b10,0.5,0,train,0.01523996443901262,0.019376506158337116,0.2714272553507676,False,False
match_r190_blend_b10_inner_val_i1,spot,1000.0,921.8377132156846,-78.16228678431537,-7.816228678431536,1,0.0,-78.16228678431574,-78.16228678431574,-78.16228678431574,41.58326171978159,0.03726861541798294,99.99952435312025,9.70374267627774,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,43,0.0589041095890411,0,0.0,5.616438356164384,0.006457859707364381,0.2920338875264915,0.39745955602621946,43,r190_blend_b10,0.3932588340353436,1,train,0.01523996443901262,0.015280520134762167,0.002661141101204251,True,True
match_r190_v3_b05_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_v3_b05,0.5,0,train,0.014442549273178939,0.019182747063595195,0.3282106019343284,False,False
match_r190_v3_b05_funded_val_i1,futures_5x,1000.0,881.270906322798,-118.72909367720194,-11.872909367720197,1,0.0,-47.145775317649935,-47.145775317649935,-47.145775317649935,40.40399970924452,-0.0438913281791667,99.99952435312025,1.1519351008004142,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,71.58331835955423,Deribit 8h aggregation,44,0.06027397260273973,0,0.0,5.7534246575342465,-0.09119502086188329,0.2760659284740338,0.37872349544016776,44,r190_v3_b05,0.37644632505705733,1,train,0.014442549273178939,0.01444500504478822,0.000170037267163244,True,True
match_r190_v3_b05_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_v3_b05,0.5,0,train,0.014998260418573026,0.019376506158337116,0.291916903532513,False,False
match_r190_v3_b05_inner_val_i1,spot,1000.0,939.8603137737329,-60.139686226267145,-6.01396862262672,1,0.0,-60.13968622626612,-60.13968622626612,-60.13968622626612,39.98124929594846,0.06289134893857277,99.99952435312025,10.629874528664585,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,49,0.06712328767123288,0,0.0,6.301369863013699,0.034842603450590696,0.2865589154706284,0.39060886815584417,49,r190_v3_b05,0.38702179577714363,1,train,0.014998260418573026,0.014994045090905185,0.00028105443899486285,True,True
