ts,open,high,low,close,volume,quote_volume,taker_buy_base
1767566400000,91182.72,91226.0,91180.0,91203.74,8.52741,777777.3489504,5.62169
1767566700000,91203.74,91253.27,91190.99,91222.01,4.32988,394985.9835105,1.99419
1767567000000,91222.0,91222.01,91182.64,91182.64,2.31754,211373.2722276,0.6925
1767567300000,91182.64,91264.35,91177.1,91220.01,13.84843,1262975.6256338,8.4834
1767567600000,91220.0,91524.43,91220.0,91473.6,86.9735,7955038.2939009,62.61403
1767567900000,91473.6,91490.68,91406.0,91424.9,28.56297,2612190.3028268,9.9932
1767568200000,91424.91,91482.78,91296.07,91333.33,18.99376,1735766.8540806,8.10122
1767568500000,91333.33,91379.06,91284.0,91379.06,15.10085,1379179.4628334,8.72868
1767568800000,91379.05,91522.87,91370.49,91417.63,28.23551,2582276.3513362,14.7398
1767569100000,91417.62,91503.13,91344.6,91372.55,21.32447,1949539.6587417,10.55171
1767569400000,91372.56,91388.03,91322.41,91388.02,22.26465,2033865.588069,13.43479
1767569700000,91388.03,91437.44,91300.32,91360.0,17.11498,1563553.745323,4.55565
1767570000000,91360.0,91360.0,91300.0,91320.39,22.50083,2054950.2107355,3.26023
1767570300000,91320.39,91372.76,91269.69,91332.38,30.08858,2747451.0977195,18.26854
1767570600000,91332.37,91461.07,91332.37,91430.88,25.27663,2310838.1393854,14.74794
1767570900000,91430.88,91590.0,91399.99,91529.73,71.99515,6584939.3662184,53.75175
1767571200000,91529.74,92070.0,91514.81,91827.01,744.29286,68425624.3453377,486.20183
1767571500000,91827.02,91842.28,91695.44,91752.22,128.80709,11819026.6444374,51.78501
1767571800000,91750.73,91937.27,91690.0,91895.35,119.40081,10960157.1820353,61.74978
1767572100000,91895.35,91999.99,91888.0,91920.81,111.47114,10248947.4023038,62.84595
1767572400000,91920.81,91935.95,91703.15,91776.96,113.55326,10428413.4221437,60.19636
1767572700000,91776.97,91877.8,91737.32,91847.38,82.70502,7593836.3434354,43.20344
1767573000000,91847.37,91853.3,91710.36,91846.97,67.56326,6200661.6936944,36.88365
1767573300000,91846.98,91888.0,91809.19,91887.28,64.32561,5908032.3637182,38.6782
1767573600000,91887.27,92062.74,91851.31,92043.61,146.86006,13511070.5253497,77.76954
1767573900000,92043.61,92330.0,91973.81,92288.86,184.86353,17039343.0436027,109.28087
1767574200000,92288.85,92410.83,92191.68,92292.99,181.20995,16725592.4988724,108.45398
1767574500000,92292.99,92426.82,92246.68,92405.46,116.82005,10788516.6906313,59.22151
1767574800000,92405.46,92497.0,92280.69,92474.01,108.64921,10040583.2555962,69.2345
1767575100000,92474.01,92936.56,92424.0,92911.36,351.52244,32594483.6264063,242.00776
1767575400000,92911.36,92986.4,92675.31,92954.39,180.79253,16781701.8671767,101.60042
1767575700000,92954.4,92975.39,92707.04,92845.83,154.1041,14308990.8141299,72.9277
1767576000000,92845.84,92916.1,92756.84,92899.99,85.7659,7963709.9345804,52.40165
1767576300000,92900.0,92986.0,92862.0,92978.35,113.45944,10542522.0084585,74.39469
1767576600000,92978.35,93055.28,92813.09,92927.41,224.71121,20886738.3207408,153.53815
1767576900000,92927.41,93388.0,92927.4,93139.72,331.88642,30929663.5730773,189.4935
1767577200000,93139.71,93244.59,93039.23,93200.0,150.69964,14037068.9679728,79.78749
1767577500000,93199.99,93255.55,93069.15,93196.0,91.95594,8568981.0451051,50.7836
1767577800000,93196.01,93224.01,92984.0,93036.99,104.93837,9766439.0361973,53.40293
1767578100000,93036.99,93048.0,92937.21,92967.28,79.01865,7348664.5885757,35.50115
1767578400000,92967.29,93157.99,92967.29,93042.63,111.73203,10400243.129711,61.23083
1767578700000,93042.63,93108.0,92788.0,92858.44,148.5403,13801107.3393212,48.49005
1767579000000,92858.44,92954.64,92821.99,92869.71,66.03244,6134766.4827945,40.2764
1767579300000,92869.7,93000.0,92856.92,92983.87,68.89707,6404197.0059212,42.54378
1767579600000,92983.88,92983.88,92800.0,92800.0,75.77231,7035376.5559458,35.27467
1767579900000,92800.01,92828.38,92724.98,92746.2,94.27238,8747743.419617,40.22096
1767580200000,92746.2,92940.01,92746.2,92921.5,61.06057,5670551.1660298,51.77113
1767580500000,92921.49,92995.56,92856.7,92916.61,65.96865,6130966.2371528,53.78539
1767580800000,92916.62,92970.0,92850.7,92922.56,48.97695,4550606.8314388,31.79991
1767581100000,92922.56,93026.26,92920.39,92980.01,54.04777,5025867.2380048,38.36937
1767581400000,92980.01,93098.39,92965.68,93071.71,88.02659,8188472.0023173,71.93453
1767581700000,93071.72,93071.72,92982.53,93033.11,30.35875,2824112.4351752,12.94248
