period,market,above,below,d_log_growth,lo,hi,p_positive,distinguishable
full,futures,kelly_regime_v4,kelly_regime_v3,0.11281424520089978,-0.33451731583707445,0.5418029137245471,0.6955,False
full,futures,kelly_regime_v3,kelly_regime_v2,0.1341684323767831,-0.5024247641194589,0.7649930362325486,0.6475,False
full,futures,kelly_regime_v2,kelly_regime,0.11978594345832949,-0.3157328916256395,0.5561909215162263,0.724,False
full,futures,kelly_regime,kelly_regime_ev,0.0023122506539614562,-0.8224162737098343,0.8661102733507767,0.5095,False
full,futures,kelly_regime_ev,kelly_regime_ev_fast,0.4222829579110421,-0.3857157893915442,1.2290603608985695,0.8545,False
full,futures,kelly_regime_ev_fast,champions_council,0.6548061934275822,-0.42652990096690613,1.6662489022261662,0.8795,False
full,futures,champions_council,universal_kelly,3.400582726481308,1.1467834311730973,5.895259535187971,0.9995,True
full,futures,universal_kelly,harsanyi_crowd,1.0512537447867225,0.4278252020018165,1.7252414244398437,0.999,True
full,futures,harsanyi_crowd,hedge_experts,0.5095425007543569,-11.224423950148722,12.050347487967727,0.556,False
full,futures,hedge_experts,overshoot_fade,2.03908908570846,-9.432105736600915,13.670018293140638,0.6125,False
full,futures,overshoot_fade,buy_and_hold,0.7764047278286474,-4.962621758890358,11.001193524111002,0.5345,False
full,futures,buy_and_hold,replicator_book,0.37626996397110624,-11.499047710914171,9.36203141957471,0.574,False
full,futures,replicator_book,minority_oracle,1.016472169071613,-5.994964602194439,8.063417981592163,0.618,False
full,futures,minority_oracle,game_council,0.6502133309835143,-3.459817301448054,4.6596171776,0.6225,False
full,futures,game_council,macd_cross,0.6697088546309073,-7.10968013071027,13.099694710484831,0.4985,False
full,futures,macd_cross,game_switch,0.02200008843663248,-11.954094444195277,9.947748678408706,0.541,False
full,futures,game_switch,tft_trend,0.0020848723607196362,-7.845884559687673,7.310593530517284,0.4875,False
full,futures,tft_trend,regret_grid,0.0012381273938943949,-5.117350480761366,5.910775225113468,0.491,False
full,futures,regret_grid,camouflage_flow,0.0075396506330545066,-9.603949162443442,6.947917349009926,0.544,False
full,futures,camouflage_flow,attrition_reversion,0.003550922051202221,-6.160644814857339,7.170205414788181,0.474,False
full,futures,attrition_reversion,macd_rsi,0.01926453469897904,-2.4350711837099923,2.296367888777558,0.4945,False
full,futures,macd_rsi,rsi_reversion,0.052344287718915083,-10.67983121552565,10.67705218338617,0.5225,False
full,futures,rsi_reversion,flow_regime,0.14143167988491978,-10.556317158700113,11.492600796499529,0.4855,False
full,futures,flow_regime,stealth_trend,0.746680073986334,-2.669257511520576,5.044429770578244,0.6555,False
holdout,spot,buy_and_hold,kelly_regime_v4,0.1291539838657858,-0.7444961854401582,0.940582665323656,0.627,False
holdout,spot,kelly_regime_v4,kelly_regime_ev_fast,0.02263995460745938,-0.33034902170565605,0.3628283187082326,0.5715,False
holdout,spot,kelly_regime_ev_fast,kelly_regime_v3,0.09076254921250704,-0.2500947753452137,0.4228234791025068,0.699,False
