split,market,sizer,gate,k,final,vol,max_dd,sharpe,fills,fees,clamp,liquidated,mean_target
inner-train,futures,plain,evidence,0.75,3998.7819145423405,0.20375895980279152,25.446474531464137,1.8036783049349423,15,4.307365042213467,0.0,False,0.13243825000526016
inner-train,futures,plain,evidence,1.0,4707.053117541513,0.23194424043024361,26.929294460566805,1.7869286073308104,33,11.606181710557319,0.0,False,0.1765843333403469
inner-train,futures,plain,evidence,1.5,6935.027778301628,0.32964764072015207,33.18221920018179,1.634832054462818,74,32.697085491320586,0.0,False,0.2648765000105203
inner-train,futures,plain,evidence,2.0,12196.769218232212,0.4456840359738025,41.15602758534245,1.627495066006352,90,60.03682849590219,0.0,False,0.3531686666806938
inner-train,futures,plain,evidence,3.0,33720.35306589267,0.5817479985857852,48.759624245371,1.8053246604960795,315,428.05000462550254,0.0,False,0.5297530000210406
inner-train,futures,plain,evidence,4.0,84173.05740625203,0.769776742861482,59.16486361137314,1.828105564598768,319,1100.2662405747217,0.0,False,0.7063373333613876
inner-train,futures,plain,evidence,6.0,337675.946802917,1.1339840556601755,74.52750706722384,1.856639779256756,318,4645.370325954405,0.007446234193697218,False,1.0595060000420813
inner-train,futures,conditional,vote,0.25,2340.2769997466366,0.1283716372768051,13.119894349938551,1.721211649685947,142,9.646417169949626,0.0,False,0.10723169012979734
inner-train,futures,conditional,vote,0.5,5667.432782240256,0.23181944121454964,24.905749683788393,1.9880798295205262,163,34.46706360530535,0.0,False,0.2144633802595947
inner-train,futures,conditional,vote,0.75,12052.012812182256,0.3145505582275268,29.395035677923754,2.1371604380402793,189,85.45998192922335,0.0,False,0.32169507038939205
inner-train,futures,conditional,vote,1.0,29478.233778189366,0.410199677354006,35.29268515137344,2.2688888810387042,249,271.5062261779243,0.0,False,0.4289267605191894
inner-train,futures,conditional,vote,1.5,109723.32359186749,0.5912973955336278,52.33756055023181,2.2836958939659153,361,1075.8366822546493,0.0,False,0.6433901407787841
inner-train,futures,conditional,vote,2.0,224609.0547344251,0.7657542700572553,69.54350026145619,2.152439968768809,436,2131.9029712162337,0.0,False,0.8578535210383788
inner-train,futures,conditional,vote,3.0,966725.4477778501,1.0804655468836917,85.43508811707704,2.1333492972091785,476,7482.625913300771,0.016276597515702255,False,1.2867802815575682
inner-train,futures,conditional,vote,4.0,1512788.321562286,1.3725438158576968,93.33290007661937,2.0241507173984217,473,11611.641064867932,0.03649392005821904,False,1.7157070420767575
inner-train,futures,conditional,vote,6.0,1111197.2184645315,1.860827969784404,98.48057736354706,1.878927681566721,472,10022.065014951557,0.17930179960568968,False,2.5735605631151364
inner-train,futures,conditional,evidence,0.25,1601.429820753588,0.09687502968614549,11.639317489775557,1.2644918035555723,2,0.21746050367296596,0.0,False,0.03912209246355418
inner-train,futures,conditional,evidence,0.5,2237.054267793767,0.17329778712723223,22.761301114752836,1.2490017112824605,4,0.6162365334423722,0.0,False,0.07824418492710836
inner-train,futures,conditional,evidence,0.75,3688.3093645820504,0.19542393146225862,17.429109054909997,1.76862128253066,15,4.330760177119341,0.0,False,0.11736627739066255
inner-train,futures,conditional,evidence,1.0,5960.585409031453,0.2586168906108446,27.5129427720292,1.8563172232942806,20,8.470470481503245,0.0,False,0.1564883698542167
inner-train,futures,conditional,evidence,1.5,10141.787391679358,0.33812226951235413,27.811549482700315,1.8833985190428388,56,33.99709811335009,0.0,False,0.2347325547813251
inner-train,futures,conditional,evidence,2.0,22943.478147207432,0.4509889493351102,35.253184069710315,1.9640163441604532,72,95.63014985269031,0.0,False,0.3129767397084334
inner-train,futures,conditional,evidence,3.0,49756.37291299061,0.6242101821647569,46.33742945175614,1.8793416206511633,264,518.5948881173692,0.0,False,0.4694651095626502
inner-train,futures,conditional,evidence,4.0,140223.7624155844,0.8264400484900128,57.49248628772007,1.911894827170369,272,1596.3938360149536,0.0,False,0.6259534794168669
inner-train,futures,conditional,evidence,6.0,647919.2593711531,1.208891991877097,73.21873000286301,1.9485922245207097,273,7426.059607258839,0.009110994313655077,False,0.9389302191253004
